timestamp1,humidity,light_intensity,motion_detected,temperature
1/1/2025 23:22,42.33,440.2,FALSE,25.12
1/1/2025 23:21,61.66,772.46,TRUE,23.72
1/1/2025 23:21,40.11,590.89,TRUE,25.83
1/1/2025 23:21,61.63,723.6,TRUE,29.44
1/1/2025 23:21,42.41,241.32,TRUE,28.53
1/1/2025 23:21,67.78,761.29,FALSE,24.63
1/1/2025 23:21,57.05,773.4,FALSE,22.6
1/1/2025 23:20,53.33,671.63,FALSE,25.11
1/1/2025 23:20,47.25,699.54,FALSE,23.5
1/1/2025 23:20,50.44,702.72,TRUE,25.31
1/1/2025 23:20,63.82,485.09,TRUE,23.22
1/1/2025 23:20,53.06,319.39,FALSE,25.76
1/1/2025 23:20,47.11,526.86,FALSE,21.23
1/1/2025 23:19,68.28,736.84,FALSE,20.08
1/1/2025 23:19,63.23,309.3,FALSE,27.65
1/1/2025 23:19,58.1,745.66,TRUE,27.82
1/1/2025 23:19,64.78,368.37,FALSE,20.49
1/1/2025 23:19,62.49,459.2,TRUE,25.36
1/1/2025 23:19,69.7,497.28,FALSE,26.58
1/1/2025 23:18,54.67,404.86,FALSE,24.32
1/1/2025 23:18,67.51,570.98,FALSE,23.32
1/1/2025 23:18,40.95,419.54,FALSE,24.19
1/1/2025 23:18,60.82,799.24,FALSE,27.82
1/1/2025 23:18,63.3,651.12,FALSE,25.88
1/1/2025 23:18,61.54,545.75,FALSE,23.53
1/1/2025 23:17,65.48,700.74,FALSE,26.29
1/1/2025 23:17,49.4,252.03,TRUE,20.91
1/1/2025 23:17,49.91,565.87,FALSE,24.59
1/1/2025 23:17,66.18,425.93,TRUE,28.05
1/1/2025 23:17,67.02,525.79,FALSE,25.25
1/1/2025 23:17,56.91,477.97,TRUE,25.86
1/1/2025 23:16,59.61,569.63,TRUE,20.14
1/1/2025 23:16,64.34,508.39,FALSE,22.38
1/1/2025 23:16,54.08,250.79,TRUE,29.91
1/1/2025 23:16,68.6,357.87,TRUE,22.27
1/1/2025 23:16,61.05,407.9,TRUE,22.15
1/1/2025 23:16,56.55,409.29,TRUE,22.37
1/1/2025 23:15,69.15,371.11,TRUE,23.76
1/1/2025 23:15,42.66,313.69,TRUE,22.43
1/1/2025 23:15,45.5,637.41,FALSE,25.06
1/1/2025 23:15,65.68,723.12,FALSE,23.58
1/1/2025 23:15,42.96,353.48,TRUE,21.31
1/1/2025 23:15,64.36,580.48,TRUE,26.23
1/1/2025 23:14,63.03,384.84,TRUE,21.65
1/1/2025 23:14,56.28,204.9,FALSE,29.08
1/1/2025 23:14,67.17,672.18,TRUE,27.5
1/1/2025 23:14,66.02,254.86,TRUE,21.75
1/1/2025 23:14,50.57,453.29,TRUE,20.89
1/1/2025 23:14,43.09,755.12,FALSE,20.51
1/1/2025 23:13,55.57,424.47,TRUE,23.61
1/1/2025 23:13,52.78,282.1,FALSE,25.12
1/1/2025 23:13,69.49,327.22,FALSE,20.52
1/1/2025 23:13,45.24,513.52,TRUE,25.53
1/1/2025 23:13,67.04,566.25,TRUE,27.51
1/1/2025 23:13,42.4,452.59,FALSE,20.4
1/1/2025 23:12,67.34,205.15,FALSE,24.14
1/1/2025 23:12,61.5,398.54,TRUE,25.39
1/1/2025 23:12,69.55,622.73,FALSE,27.2
1/1/2025 23:12,68.58,587.01,FALSE,26.26
1/1/2025 23:12,53.38,640.36,FALSE,28.81
1/1/2025 23:12,50.05,799.16,TRUE,26.41
1/1/2025 23:11,48.21,783.06,TRUE,29.41
1/1/2025 23:11,49.35,582.45,FALSE,25.76
1/1/2025 23:11,66.12,335.29,TRUE,21.98
1/1/2025 23:11,56.49,289.55,FALSE,28.28
1/1/2025 23:11,61,256.21,TRUE,29.62
1/1/2025 23:11,48.94,201.48,TRUE,20.41
1/1/2025 23:10,68.28,611.6,TRUE,21.27
1/1/2025 23:10,61.99,204.5,TRUE,21.1
1/1/2025 23:10,56.94,590.77,FALSE,22.93
1/1/2025 23:10,58.56,338.28,FALSE,26.33
1/1/2025 23:10,58.87,205.28,TRUE,25.91
1/1/2025 23:10,62.43,468.9,FALSE,26.32
